# Spectrum file for cosima

IP LIN

DP 10 0.0112163
DP 10.4713 0.0110268
DP 10.9648 0.0108405
DP 11.4815 0.0106573
DP 12.0226 0.0104773
DP 12.5893 0.0103003
DP 13.1826 0.0101263
DP 13.8038 0.00995517
DP 14.4544 0.00978698
DP 15.1356 0.00962163
DP 15.8489 0.00945907
DP 16.5959 0.00929927
DP 17.378 0.00914216
DP 18.197 0.0089877
DP 19.0546 0.00883586
DP 19.9526 0.00868658
DP 20.893 0.00853982
DP 21.8776 0.00839554
DP 22.9087 0.0082537
DP 23.9883 0.00811426
DP 25.1189 0.00797717
DP 26.3027 0.00784239
DP 27.5423 0.0077099
DP 28.8403 0.00757964
DP 30.1995 0.00745159
DP 31.6228 0.00732569
DP 33.1131 0.00720193
DP 34.6737 0.00708025
DP 36.3078 0.00696063
DP 38.0189 0.00684303
DP 39.8107 0.00672742
DP 41.6869 0.00661376
DP 43.6516 0.00650203
DP 45.7088 0.00639218
DP 47.863 0.00628418
DP 50.1187 0.00605346
DP 52.4807 0.00557704
DP 54.9541 0.00513811
DP 57.544 0.00473373
DP 60.256 0.00436118
DP 63.0957 0.00401794
DP 66.0693 0.00370172
DP 69.1831 0.00341039
DP 72.4436 0.00314198
DP 75.8578 0.0028947
DP 79.4328 0.00266688
DP 83.1764 0.00245699
DP 87.0964 0.00226362
DP 91.2011 0.00208547
DP 95.4993 0.00192134
DP 100 0.00177012
DP 104.713 0.00163081
DP 109.648 0.00150246
DP 114.815 0.00138422
DP 120.226 0.00127527
DP 125.893 0.00117491
DP 131.826 0.00108244
DP 138.038 0.000997249
DP 144.544 0.000918763
DP 151.356 0.000846455
DP 158.489 0.000779837
DP 165.959 0.000718462
DP 173.78 0.000661917
DP 181.97 0.000609823
DP 190.546 0.000561828
DP 199.526 0.000517611
DP 208.93 0.000476874
DP 218.776 0.000439343
DP 229.087 0.000404766
DP 239.883 0.00037291
DP 251.189 0.000343561
DP 263.027 0.000316522
DP 275.423 0.000291611
DP 288.403 0.00026866
DP 301.995 0.000247516
DP 316.228 0.000228036
DP 331.131 0.000210089
DP 346.737 0.000193555
DP 363.078 0.000178321
DP 380.189 0.000164287
DP 398.107 0.000151357
DP 416.869 0.000139445
DP 436.516 0.000128471
DP 457.088 0.00011836
DP 478.63 0.000109044
DP 501.187 0.000100462
DP 524.807 9.25558e-05
DP 549.541 8.52715e-05
DP 575.44 7.85604e-05
DP 602.56 7.23775e-05
DP 630.957 6.66812e-05
DP 660.693 6.14333e-05
DP 691.831 5.65983e-05
DP 724.436 5.21439e-05
DP 758.578 4.8281e-05
DP 794.328 4.53917e-05
DP 831.764 4.26753e-05
DP 870.964 4.01215e-05
DP 912.011 3.77204e-05
DP 954.993 3.54631e-05
DP 1000 3.33409e-05

